ID	Dia setmana	Mes	Dia	Hora	Any	Rt	Likes	Matí(0)/Tarda(1)
944662671680507000	Sat	Dec	23	20:15:06	2017	25	0	1
944186354958852000	Fri	Dec	22	12:42:23	2017	15	88	1
943424078249168000	Wed	Dec	20	10:13:22	2017	7	0	1
942723259950346000	Mon	Dec	18	11:48:34	2017	18	110	1
946681738683699000	Fri	Dec	29	9:58:09	2017	5	20	1
945969802614591000	Wed	Dec	27	10:49:10	2017	12	37	1
935559332212690000	Tue	Nov	28	17:21:41	2017	1194	6841	1
947074800446517000	Sat	Dec	30	12:00:02	2017	0	3	1
947047571415093000	Sat	Dec	30	10:11:50	2017	28	47	1
946652625973456000	Fri	Dec	29	8:02:28	2017	24	0	1
946389672372121000	Thu	Dec	28	14:37:35	2017	458	0	1
946046391436173000	Wed	Dec	27	15:53:31	2017	53	0	1
946722547365826000	Fri	Dec	29	12:40:19	2017	3	0	1
946398549171941000	Thu	Dec	28	15:12:52	2017	39	0	1
946039738959585000	Wed	Dec	27	15:27:04	2017	5	0	1
945710564877090000	Tue	Dec	26	17:39:03	2017	16	29	1
945675937932349000	Tue	Dec	26	15:21:28	2017	6	0	1
947063494817525000	Sat	Dec	30	11:15:07	2017	56	101	1
946931401932333000	Sat	Dec	30	2:30:14	2017	108	233	1
947102210596450000	Sat	Dec	30	13:48:57	2017	3	14	1
947079569655332000	Sat	Dec	30	12:18:59	2017	1	4	1
947067735896416000	Sat	Dec	30	11:31:58	2017	1	1	1
947058273437605000	Sat	Dec	30	10:54:22	2017	3	5	1
936262633237467000	Thu	Nov	30	15:56:21	2017	2	4	1
947065995952304000	Sat	Dec	30	11:25:03	2017	55	38	1
946819381610401000	Fri	Dec	29	19:05:06	2017	50	42	1
946806086388060000	Fri	Dec	29	18:12:16	2017	93	0	1
946794222862168000	Fri	Dec	29	17:25:07	2017	54	40	1
946785421660389000	Fri	Dec	29	16:50:09	2017	125	76	1
947088046964518000	Sat	Dec	30	12:52:41	2017	0	1	1
947066841771495000	Sat	Dec	30	11:28:25	2017	1	1	1
946827896844374000	Fri	Dec	29	19:38:56	2017	0	1	1
946752588321644000	Fri	Dec	29	14:39:41	2017	1	0	1
946711949777219000	Fri	Dec	29	11:58:12	2017	0	0	1
946709885869346000	Fri	Dec	29	11:50:00	2017	3	17	1
946691624913993000	Fri	Dec	29	10:37:26	2017	0	4	1
946664586761179000	Fri	Dec	29	8:50:00	2017	7	31	1
945372545045467000	Mon	Dec	25	19:15:53	2017	1	10	1
943045840549097000	Tue	Dec	19	9:10:23	2017	0	1	1
942031694462377000	Sat	Dec	16	14:00:32	2017	6	0	1
935909607935037000	Wed	Nov	29	16:33:33	2017	3	14	1
935286182560313000	Mon	Nov	27	23:16:17	2017	7	0	1
947137452812185000	Sat	Dec	30	16:09:00	2017	0	5	1
947113463725170000	Sat	Dec	30	14:33:40	2017	23	49	1
946850813980196000	Fri	Dec	29	21:10:00	2017	55	153	1
946834959557214000	Fri	Dec	29	20:07:00	2017	8	56	1
945646780187906000	Tue	Dec	26	13:25:36	2017	14	124	1
942056257153851000	Sat	Dec	16	15:38:08	2017	41	0	1
947085569166856000	Sat	Dec	30	12:42:50	2017	3	1	1
947054666298224000	Sat	Dec	30	10:40:02	2017	4	8	1
946710540776288000	Fri	Dec	29	11:52:36	2017	2	4	1
946797522818863000	Fri	Dec	29	17:38:14	2017	83	0	1
945786757496352000	Tue	Dec	26	22:41:49	2017	225	0	1
946060804838903000	Wed	Dec	27	16:50:47	2017	2	5	1
944666120581210000	Sat	Dec	23	20:28:48	2017	0	2	1
944191969869357000	Fri	Dec	22	13:04:42	2017	1	0	1
947068540015857000	Sat	Dec	30	11:35:10	2017	12	36	1
946908766892642000	Sat	Dec	30	1:00:17	2017	70	90	1
946773277057470000	Fri	Dec	29	16:01:54	2017	6	2	1
946836722075267000	Fri	Dec	29	20:14:00	2017	94	638	1
945991307029233000	Wed	Dec	27	12:14:37	2017	509	2227	1
945602591618035000	Tue	Dec	26	10:30:00	2017	583	2994	1
942076449464430000	Sat	Dec	16	16:58:23	2017	159	1094	1
939966724916629000	Sun	Dec	10	21:15:05	2017	583	3694	1
938681537180127000	Thu	Dec	7	8:08:12	2017	111	305	1
937669341289512000	Mon	Dec	4	13:06:06	2017	275	0	1
947112627892826000	Sat	Dec	30	14:30:21	2017	6	9	1
947082419596914000	Sat	Dec	30	12:30:19	2017	4	11	1
946795580935819000	Fri	Dec	29	17:30:31	2017	10	13	1
946780468195635000	Fri	Dec	29	16:30:28	2017	38	25	1
946758056800653000	Fri	Dec	29	15:01:25	2017	25	16	1
947106291155161000	Sat	Dec	30	14:05:10	2017	1	5	1
947038325197721000	Sat	Dec	30	9:35:06	2017	2	7	1
947105177659637000	Sat	Dec	30	14:00:45	2017	0	0	1
947044590711959000	Sat	Dec	30	10:00:00	2017	1	3	1
947029491490025000	Sat	Dec	30	9:00:00	2017	0	1	1
946803010973220000	Fri	Dec	29	18:00:03	2017	0	3	1
947074778728484000	Sat	Dec	30	11:59:57	2017	12	4	1
947069781198495000	Sat	Dec	30	11:40:06	2017	5	3	1
947029624390811000	Sat	Dec	30	9:00:32	2017	7	6	1
944855352100708000	Sun	Dec	24	9:00:45	2017	25	25	1
945970128298094000	Wed	Dec	27	10:50:28	2017	80	129	1
946345797657952000	Thu	Dec	28	11:43:15	2017	20	40	1
945250249198702000	Mon	Dec	25	11:09:55	2017	1	3	1
944948489980710000	Sun	Dec	24	15:10:50	2017	11	36	1
944693980352131000	Sat	Dec	23	22:19:31	2017	13	66	1
944202101705658000	Fri	Dec	22	13:44:58	2017	8	35	1
944606956601466000	Sat	Dec	23	16:33:43	2017	5	0	1
944195875206848000	Fri	Dec	22	13:20:13	2017	7	0	1
942747077116874000	Mon	Dec	18	13:23:13	2017	1	2	1
947065234367315000	Sat	Dec	30	11:22:02	2017	10	0	1
946696993849724000	Fri	Dec	29	10:58:46	2017	22	15	1
947086446606864000	Sat	Dec	30	12:46:19	2017	16	0	1
945971774306611000	Wed	Dec	27	10:57:00	2017	27	0	1
945723881691561000	Tue	Dec	26	18:31:58	2017	73	392	1
945707010892251000	Tue	Dec	26	17:24:56	2017	192	0	1
946742612182016000	Fri	Dec	29	14:00:03	2017	5	7	1
945270430306328000	Mon	Dec	25	12:30:07	2017	9	23	1
941393353479921000	Thu	Dec	14	19:44:00	2017	5	18	1
946517010980143000	Thu	Dec	28	23:03:35	2017	4	19	1
946512502539644000	Thu	Dec	28	22:45:40	2017	31	81	1
946508825963704000	Thu	Dec	28	22:31:04	2017	16	0	1
946507919348158000	Thu	Dec	28	22:27:27	2017	9	0	1
947120327221481000	Sat	Dec	30	15:00:57	2017	2	6	1
947029648013254000	Sat	Dec	30	9:00:37	2017	4	8	1
947090167445286000	Sat	Dec	30	13:01:06	2017	2	9	1
946766789534535000	Fri	Dec	29	15:36:07	2017	6	15	1
946725889513050000	Fri	Dec	29	12:53:36	2017	7	13	1
946468463408754000	Thu	Dec	28	19:50:40	2017	3	0	1
