ID	Dia setmana	Mes	Dia	Hora	Any	Rt	Likes	Matí(0)/Tarda(1)
947847821734105000	Mon	Jan	1	15:11:45	2018	2	0	1
947227514946154000	Sat	Dec	30	22:06:52	2017	1	20	1
947872155336880000	Mon	Jan	1	16:48:27	2018	11	19	1
947858699959324000	Mon	Jan	1	15:54:59	2018	23	85	1
947855498690351000	Mon	Jan	1	15:42:15	2018	5	35	1
947844062408736000	Mon	Jan	1	14:56:49	2018	8	0	1
947839220349063000	Mon	Jan	1	14:37:34	2018	49	0	1
947834405065773000	Mon	Jan	1	14:18:26	2018	35	108	1
947801349605023000	Mon	Jan	1	12:07:05	2018	7	0	1
947461651581800000	Sun	Dec	31	13:37:15	2017	2	0	1
947188081983197000	Sat	Dec	30	19:30:11	2017	5	44	1
946327390271176000	Thu	Dec	28	10:30:06	2017	1	3	1
946089585318260000	Wed	Dec	27	18:45:09	2017	21	36	1
947863805480067000	Mon	Jan	1	16:15:16	2018	11	0	1
947828644860194000	Mon	Jan	1	13:55:33	2018	8	22	1
947786688419565000	Mon	Jan	1	11:08:50	2018	25	44	1
947516503909429000	Sun	Dec	31	17:15:13	2017	5	29	1
946806836480675000	Fri	Dec	29	18:15:15	2017	6	24	1
946713747422371000	Fri	Dec	29	12:05:21	2017	6	0	1
942143131511934000	Sat	Dec	16	21:23:21	2017	5	22	1
942113970680365000	Sat	Dec	16	19:27:28	2017	6	17	1
942051921581535000	Sat	Dec	16	15:20:55	2017	7	20	1
946818107422724000	Fri	Dec	29	19:00:02	2017	59	174	1
946756558079262000	Fri	Dec	29	14:55:27	2017	83	0	1
946735051990958000	Fri	Dec	29	13:30:00	2017	2	11	1
946712401948405000	Fri	Dec	29	12:00:00	2017	36	131	1
946680503935135000	Fri	Dec	29	9:53:15	2017	2	7	1
946833202102046000	Fri	Dec	29	20:00:01	2017	1	10	1
946665452893364000	Fri	Dec	29	8:53:26	2017	3	16	1
946472320230498000	Thu	Dec	28	20:06:00	2017	3	12	1
947843362073337000	Mon	Jan	1	14:54:02	2018	5	9	1
947810393241587000	Mon	Jan	1	12:43:01	2018	34	94	1
947794786899120000	Mon	Jan	1	11:41:01	2018	2	0	1
946788121684987000	Fri	Dec	29	17:00:53	2017	13	624	1
945376831624146000	Mon	Dec	25	19:32:55	2017	19	851	1
941697081001086000	Fri	Dec	15	15:50:54	2017	19	690	1
938904947193798000	Thu	Dec	7	22:55:58	2017	14	364	1
935267887610200000	Mon	Nov	27	22:03:35	2017	14	0	1
947784992737939000	Mon	Jan	1	11:02:05	2018	9	51	1
947663703117369000	Mon	Jan	1	3:00:08	2018	7	34	1
947643576229523000	Mon	Jan	1	1:40:09	2018	4	9	1
947633527151058000	Mon	Jan	1	1:00:13	2018	9	31	1
947628558884667000	Mon	Jan	1	0:40:29	2018	18	31	1
947544203596267000	Sun	Dec	31	19:05:17	2017	10	41	1
