ID	Dia setmana	Mes	Dia	Hora	Any	Rt	Likes	Matí(0)/Tarda(1)
947500425435115000	Sun	Dec	31	16:11:19	2017	4	0	0
947184203048865000	Sat	Dec	30	19:14:46	2017	8	6	0
946686973573509000	Fri	Dec	29	10:18:57	2017	24	12	0
946077009746284000	Wed	Dec	27	17:55:11	2017	4	0	0
947089896442945000	Sat	Dec	30	13:00:02	2017	10	8	0
947029499572510000	Sat	Dec	30	9:00:02	2017	24	33	0
946020545350504000	Wed	Dec	27	14:10:48	2017	4	23	0
945998323558871000	Wed	Dec	27	12:42:30	2017	69	309	0
947046738870898000	Sat	Dec	30	10:08:32	2017	1	31	0
946643102026084000	Fri	Dec	29	7:24:37	2017	2	0	0
947673751050686000	Mon	Jan	1	3:40:03	2018	24	90	0
947625988632072000	Mon	Jan	1	0:30:16	2018	62	186	0
947513992922255000	Sun	Dec	31	17:05:14	2017	15	30	0
947399504764063000	Sun	Dec	31	9:30:18	2017	41	77	0
946695053006819000	Fri	Dec	29	10:51:04	2017	12	0	0
946051325535637000	Wed	Dec	27	16:13:07	2017	6	0	0
943102155631841000	Tue	Dec	19	12:54:10	2017	4	11	0
942819949017468000	Mon	Dec	18	18:12:47	2017	18	37	0
941694550787149000	Fri	Dec	15	15:40:51	2017	19	29	0
947099151111729000	Sat	Dec	30	13:36:48	2017	33	13	0
946788999523430000	Fri	Dec	29	17:04:22	2017	6	4	0
946404500667092000	Thu	Dec	28	15:36:30	2017	23	27	0
945437272312295000	Mon	Dec	25	23:33:05	2017	2	4	0
941039499999621000	Wed	Dec	13	20:17:55	2017	13	94	0
938427969399328000	Wed	Dec	6	15:20:37	2017	11	148	0
